id,date,name,type,description,elapsed_time,distance,commute,gear,filename
1036837849,2016-09-19 23:11:01,Corrida ao entardecer,Run,"",3209,4676.7,false,,activities/1139987223.tcx.gz
1036837852,2017-06-08 10:29:11,Corrida matinal,Run,"",2308,4638.8,false,,activities/1139987228.tcx.gz
1036837861,2016-09-12 22:43:41,Corrida ao entardecer,Run,"",2966,4593.6,false,,activities/1139987214.tcx.gz
1036837868,2017-06-12 10:36:40,Corrida matinal,Run,"",1789,3393.1,false,,activities/1139987231.tcx.gz
1044016581,2017-06-19 10:32:15,Morning Run,Run,,2036,4246.5,false,,activities/1147397204.tcx.gz
1045485458,2017-06-20 10:22:24,Morning Run,Run,,947,2104.0,false,,activities/1148905076.tcx.gz
1050907862,2017-06-23 23:10:14,Afternoon Run,Run,,1666,3605.7,false,,activities/1154441254.fit.gz
1053469345,2017-06-25 13:39:25,Morning Run @ Evolution #evol2017,Run,"",1625,3701.5,false,,activities/1157094667.fit.gz
1066350219,2017-07-03 23:06:50,Afternoon Run,Run,,49,0.0,false,,activities/1170183649.fit.gz
1066860148,2017-07-04 10:03:27,Morning Run @ USP,Run,"",1793,3760.9,false,"",activities/1170700165.fit.gz
1089378769,2017-07-18 10:20:50,Morning Run - Getting back after 2 weeks,Run,SO FREAKING COLD,964,2108.8,false,"",activities/1193591072.tcx.gz
1092663050,2017-07-20 10:20:44,Slowly back to action,Run,"",1911,4107.9,false,"",activities/1196915668.tcx.gz
1107905659,2017-07-26 19:22:02,Forgot to start the timer at the beginning of the run ¬¬,Run,"",1265,2718.6,false,"",activities/1212373508.tcx.gz
1123161094,2017-08-08 10:18:52,Running in the concrete desert with Tássia coming back from vacations,Run,"",1917,4066.7,false,"",activities/1227889996.fit.gz
1126505036,2017-08-10 10:10:02,"Lousy pace, but at least I could get out of bed early to finish my dissertation",Run,"",1892,4084.2,false,"",activities/1231283899.fit.gz
1157923925,2017-08-29 10:19:23,"Slow ride, take it easy... Dusting off after finishing the dissertation",Run,"But hell, it was dry",1928,4181.6,false,"",activities/1263221301.fit.gz
1161240613,2017-08-31 10:21:01,Happy that I could make a better pace,Run,"",1792,4093.4,false,"",activities/1266557268.fit.gz
1167054239,2017-09-03 20:52:27,Afternoon Run,Run,,760,1865.9,false,"",activities/1272447026.fit.gz
1167067831,2017-09-03 21:07:28,Evening Run,Run,,620,1403.8,false,"",activities/1272460021.fit.gz
1180279799,2017-09-12 10:07:48,Morning Run,Run,,1820,4061.1,false,"",activities/1285859280.fit.gz
1183411640,2017-09-14 10:01:24,First 5K ever!,Run,"",2418,5174.6,false,"",activities/1289022941.fit.gz
1191185575,2017-09-19 10:13:00,Morning Run,Run,,2397,5036.7,false,"",activities/1296915296.fit.gz
1194368560,2017-09-21 10:07:03,Morning Run,Run,,2388,5087.6,false,"",activities/1300144195.fit.gz
1199332234,2017-09-24 12:10:30,"Starting the Sunday, now on to preparing my defense presentation",Run,"",1936,4245.6,false,"",activities/1305196013.fit.gz
1205631171,2017-09-28 10:14:31,Morning Run,Run,,2283,5037.4,false,"",activities/1311563321.fit.gz
1223731507,2017-10-10 10:05:54,Morning Run,Run,,2251,5072.5,false,"",activities/1329901223.fit.gz
1234420444,2017-10-17 09:21:59,Morning Run,Run,,2295,5083.2,false,"",activities/1340727305.fit.gz
1237466997,2017-10-19 09:08:42,Long run,Run,"",2774,6069.8,false,"",activities/1343795506.fit.gz
1240988209,2017-10-21 21:04:10,54a volta da USP,Run,"",2214,5061.2,false,"",activities/1347358444.fit.gz
