Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Treadmill duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2014-11-03,,,,,,-23.58555030822754,-46.729801177978516,-23.559192657470703,-46.65089797973633,2.6132662296295166,13.78009033203125,0.5503635406494141,3002,180.0,180.0,180.0,,16514812,1304999,,,,,
2014-11-04,,,,,,-23.590864181518555,-46.730224609375,-23.559289932250977,-46.64533233642578,1.608609914779663,16.052440643310547,0.6220128536224365,4135,,,,,78467958,2237785,,,,,
2014-11-05,,,,,,-23.591039657592773,-46.73035430908203,-23.554794311523438,-46.646636962890625,1.4390567541122437,15.654139518737793,1.0212247371673584,2187,,,,,77908588,950438,,,,,
2014-11-06,,,,,,-23.588794708251953,-46.730194091796875,-23.53449249267578,-46.6342658996582,4.597242832183838,19.262495040893555,1.0885311365127563,3047,,,,,74838041,1340120,,,,,
2014-11-07,,,,,,-23.576763153076172,-46.77159881591797,-23.527545928955078,-46.647953033447266,1.7080224752426147,3.340134620666504,0.5707013607025146,2467,,,,,71886915,1052529,,,,,
2014-11-08,,,,,,-23.535158157348633,-46.76686477661133,-23.5090389251709,-46.63064956665039,3.5653252601623535,19.3400936126709,1.2371337413787842,2088,,,,,79955750,652116,,,,,
2014-11-09,,,,,,-23.59078598022461,-46.76697540283203,-23.526037216186523,-46.648193359375,5.052473545074463,22.193254470825195,0.5315073132514954,779,,,,,81516788,11757,,,,,
2014-11-10,,,,,,-23.588451385498047,-46.731998443603516,-23.549427032470703,-46.64585876464844,4.828207969665527,19.620010375976562,1.581455111503601,2434,,,,,78939583,1170478,,,,,
2014-11-11,,,,,,-23.59126853942871,-46.73030471801758,-23.562305450439453,-46.64552307128906,8.224835395812988,16.990293502807617,0.9762172102928162,2147,,,,,79849897,1158188,,,,,
2014-11-12,,,,,,-23.572093963623047,-46.767059326171875,-23.5251522064209,-46.647216796875,1.7541104555130005,19.950002670288086,0.6067124605178833,2567,,,,,75584144,1115958,,,,,
2014-11-13,,,,,,-23.58551025390625,-46.7668342590332,-23.52848243713379,-46.64685821533203,5.700247764587402,19.08051300048828,0.6363961100578308,2172,,,,,76926223,1385151,,,,,
2014-11-14,,,,,,-23.62709617614746,-46.740440368652344,-23.55097770690918,-46.6451530456543,7.970701217651367,15.065580368041992,0.623618483543396,1977,,,,,71922399,1317487,,,,,
2014-11-15,,,,,,-23.589340209960938,-46.76681137084961,-23.525774002075195,-46.6460075378418,3.7268431186676025,21.12040138244629,0.5032891631126404,1621,,,,,75259207,602084,,,,,
2014-11-16,,,,,,-23.590646743774414,-46.704139709472656,-23.584680557250977,-46.701839447021484,5.4906816482543945,5.901432037353516,5.079931259155273,1885,,,,,81995119,814238,,,,,
2014-11-17,,,,,,-23.588882446289062,-46.73055648803711,-23.56285285949707,-46.64675521850586,2.357198476791382,18.55060577392578,1.3800362348556519,1116,,,,,80694414,683214,,,,,
2014-11-18,,,,,,-23.58676528930664,-46.78022766113281,-23.522045135498047,-46.64664077758789,10.269001960754395,26.66126823425293,1.8944655656814575,2759,,,,,70056999,930259,,,,,
2014-11-19,,,,,,-23.573190689086914,-46.73080062866211,-23.55679702758789,-46.65259552001953,1.6121671199798584,15.830265045166016,0.5824946165084839,2688,,,,,73300070,1610813,,,,,
2014-11-20,,,,,,-23.59007453918457,-46.7739372253418,-23.52159309387207,-46.6477165222168,18.641359329223633,25.600000381469727,9.800020217895508,1340,,,,,25895706,617929,,,,,
2014-11-21,,,,,,-23.590744018554688,-46.77848434448242,-23.537309646606445,-46.65043258666992,14.129881858825684,16.189687728881836,2.025438070297241,,,,,,,,,,,,
2014-11-22,,,,,,-23.590547561645508,-46.776336669921875,-23.422975540161133,-46.476531982421875,13.429736137390137,22.111902236938477,4.28000020980835,3007,,,,,15622570,1594733,,,,,
2014-11-23,,,,,,-23.572202682495117,-46.76691436767578,-23.523475646972656,-46.64773178100586,6.920848369598389,22.45008087158203,1.0804166793823242,739,,,,,82601869,131699,,,,,
2014-11-24,,,,,,-23.591041564941406,-46.730438232421875,-23.562536239624023,-46.64632797241211,7.11896276473999,16.0310115814209,0.9935793876647949,2145,,,,,81087931,1051134,,,,,
2014-11-25,,,,,,-23.589235305786133,-46.730674743652344,-23.55231285095215,-46.645111083984375,4.414909839630127,16.84042739868164,0.6191122531890869,1907,,,,,80585029,1026109,,,,,
